host_since,host_listings_count_total,host_listings_count_entire_homes,host_listings_count_private_rooms,host_listings_count_shared_rooms,locale,month_host_joined,host_response_proportion,host_acceptance_proportion,id_host
2014-02-18,3,3,0,0,Austin,02,1,0.64,12356977
2013-07-07,2,2,0,0,Austin,07,1,0.97,7335335
2014-02-03,3,3,0,0,Austin,02,1,0.76,11897676
2014-02-20,2,0,2,0,Austin,02,1,0.83,12426659
2012-05-11,1,1,0,0,Austin,05,0.63,0.2,2350380
2014-02-20,1,0,1,0,Austin,02,1,1,12432655
2014-02-22,1,0,1,0,Austin,02,1,0.5,12486058
2013-07-27,2,2,0,0,Austin,07,1,0,7764443
2014-02-24,2,2,0,0,Austin,02,1,0.83,12541452
2014-02-24,1,1,0,0,Austin,02,0.7,0.4,12546753
2013-05-13,2,2,0,0,Austin,05,0.5,0.38,6364170
2014-02-24,2,2,0,0,Austin,02,1,0.83,12541452
2013-11-14,1,1,0,0,Austin,11,1,1,10016722
2014-03-03,2,1,1,0,Austin,03,1,0.84,12761140
2012-07-17,1,1,0,0,Austin,07,0.8,0.6,2961708
2013-10-23,1,1,0,0,Austin,10,1,0.83,9599503
2014-03-08,1,0,1,0,Austin,03,0.83,0.5,12923614
2013-02-19,2,2,0,0,Austin,02,1,1,5152543
2014-03-11,1,1,0,0,Austin,03,1,0.67,13035711
2014-03-11,1,1,0,0,Austin,03,0,0.07,13040118
2014-02-03,3,3,0,0,Austin,02,1,0.76,11897676
2013-11-14,1,1,0,0,Austin,11,1,1,10010707
2013-03-07,2,2,0,0,Austin,03,1,0.97,5367671
2014-03-30,1,1,0,0,Austin,03,1,0.77,13710115
2014-03-31,1,1,0,0,Austin,03,0.67,0,13752896
2013-11-13,3,3,0,0,Austin,11,0.9,0.47,9983041
2014-04-04,1,1,0,0,Austin,04,1,1,13898735
2014-04-07,1,1,0,0,Austin,04,0.9,0.48,14001503
2011-02-03,1,1,0,0,Austin,02,1,1,376422
2013-07-18,10,6,4,0,Austin,07,0.96,0.64,7567467
2013-07-12,2,2,0,0,Austin,07,1,0.78,7440744
2013-07-12,2,2,0,0,Austin,07,1,0.78,7440744
2011-07-27,4,2,2,0,Austin,07,1,1,880571
2014-04-26,2,2,0,0,Austin,04,1,0.71,14747714
2010-02-11,12,12,0,0,Austin,02,1,1,80406
2012-05-22,6,6,0,0,Austin,05,1,0.98,2436512
2013-06-21,1,1,0,0,Austin,06,1,0.96,7041918
2014-05-07,9,9,0,0,Austin,05,1,0.99,15219795
2014-05-07,9,9,0,0,Austin,05,1,0.99,15219795
2013-07-18,10,6,4,0,Austin,07,0.96,0.64,7567467
2012-01-21,1,1,0,0,Austin,01,1,0.92,1634035
2014-05-07,9,9,0,0,Austin,05,1,0.99,15219795
2014-04-22,1,1,0,0,Austin,04,1,0.92,14613487
2014-05-12,1,1,0,0,Austin,05,1,1,15438805
2013-01-27,2,1,1,0,Austin,01,1,0.98,4870151
2014-05-20,34,34,0,0,Austin,05,0.98,0.98,15782486
2014-05-20,34,34,0,0,Austin,05,0.98,0.98,15782486
2014-05-21,1,1,0,0,Austin,05,1,1,15811157
2014-05-20,1,1,0,0,Austin,05,1,1,15769878
2014-05-20,34,34,0,0,Austin,05,0.98,0.98,15782486
2012-10-22,3,3,0,0,Austin,10,1,1,3947597
2010-07-21,2,1,1,0,Austin,07,1,0,175669
2014-05-27,12,12,0,0,Austin,05,0.97,0.99,16047277
2014-06-01,3,3,0,0,Austin,05,1,0.5,16243944
2011-02-08,2,2,0,0,Austin,02,0.88,0.68,382510
2013-07-07,2,2,0,0,Austin,07,1,0.97,7335335
2014-06-10,1,1,0,0,Austin,06,0,0.15,16643010
2011-12-09,21,21,0,0,Austin,12,0.98,0.99,1488733
2014-05-20,34,34,0,0,Austin,05,0.98,0.98,15782486
2014-05-20,34,34,0,0,Austin,05,0.98,0.98,15782486
2010-02-11,12,12,0,0,Austin,02,1,1,80406
2011-01-06,1,0,1,0,Austin,01,1,0.25,337459
2014-06-21,4,3,1,0,Austin,06,1,1,17088289
2014-02-03,3,3,0,0,Austin,02,1,0.76,11897676
2011-07-27,4,2,2,0,Austin,07,1,1,880571
2014-05-23,1,1,0,0,Austin,05,1,0.25,15896164
2014-05-07,9,9,0,0,Austin,05,1,0.99,15219795
2014-07-05,1,1,0,0,Austin,07,1,0.32,17692740
2014-07-01,1,1,0,0,Austin,06,1,0.91,17480862
